GEOID,NAME,LANDAREA,WATERAREA,NIGHTPOP,POPDEN,DAYPOP,PCTDAYPOP,WORKERS_WORKING,MALE,FEMALE,MEDAGE,MALE_0_TO_5,MALE_5_TO_10,MALE_10_TO_15,MALE_15_TO_18,MALE_18_TO_20,MALE_20,MALE_21,MALE_22_TO_25,MALE_25_TO_30,MALE_30_TO_35,MALE_35_TO_40,MALE_40_TO_45,MALE_45_TO_50,MALE_50_TO_55,MALE_55_TO_60,MALE_60_TO_62,MALE_62_TO_65,MALE_65_TO_67,MALE_67_TO_70,MALE_70_TO_75,MALE_75_TO_80,MALE_80_TO_85,MALE_85_PLUS,FEMALE_0_TO_5,FEMALE_5_TO_10,FEMALE_10_TO_15,FEMALE_15_TO_18,FEMALE_18_TO_20,FEMALE_20,FEMALE_21,FEMALE_22_TO_25,FEMALE_25_TO_30,FEMALE_30_TO_35,FEMALE_35_TO_40,FEMALE_40_TO_45,FEMALE_45_TO_50,FEMALE_50_TO_55,FEMALE_55_TO_60,FEMALE_60_TO_62,FEMALE_62_TO_65,FEMALE_65_TO_67,FEMALE_67_TO_70,FEMALE_70_TO_75,FEMALE_75_TO_80,FEMALE_80_TO_85,FEMALE_85_PLUS,PCTWHITE,PCTBLACK,PCTASIAN,PCTHISPAN,PCTMINOR,PCTNOHIGH,PCTUNIVDEG,PCTBADENG,PCTPUB2WRK,TIME2WORK,WORKERS_LIVE,HHMEDINC,MEDFAMINC,PERCAPINC,PCTPOPPOV,PCTFAMPOV,PCTUNEMP,PCTHUVAC,MEDVALHOME,PCTNOVEH,PCTNOHINS,PCTB2010,PCTB2000,PCTB1990,PCTB1980,PCTB1970,PCTB1960,PCTB1950,PCTB1940,PCTBPRE
48001,"Anderson County, Texas",1062.6168240933935,15.384258923207366,58439,54.99536490950928,57564,0.49622854581347037,19854,35716,22723,39.7,1512,1712,1496,1161,825,268,503,1670,2824,3196,3340,3628,3254,2475,2052,811,943,639,962,980,707,590,168,1439,1485,1513,877,521,170,349,639,1412,1256,1515,1130,1459,1250,1525,561,803,585,840,1339,936,779,340,0.5828299594448912,0.18550967675696026,0.006673625489826999,0.19579390475538597,0.41717004055510876,0.14404595853329866,0.15392798884134376,NA,0.00935886921703893,NA,20729,62068,74229,27075,0.17364884482973164,0.13532569505648587,0.05939582407818747,0.14863425029058505,185300,0.0576824620285568,0.18539045958400796,0.15493025958930648,0.15086206896551724,0.10572452537776056,0.18108291359938009,0.16035451375435877,0.08136381247578459,0.06184618364974816,0.03298140255714839,0.07085432003099573
48003,"Andrews County, Texas",1500.6857367678924,0.4051177071090677,18610,12.40099745339178,17662,0.4869320688134098,7441,9104,9506,33,489,639,1028,459,77,249,112,336,679,761,782,712,465,484,384,229,355,164,109,340,94,133,24,1007,808,840,487,178,144,81,417,525,697,669,561,639,448,365,392,306,84,196,300,99,143,120,0.5768941429339065,0.01601289629231596,0.004030091348737238,0.5753358409457281,0.4231058570660935,0.23323563371525002,0.17683630873079315,NA,0,NA,8389,72242,94598,37340,0.15592594603398666,0.14163787847998374,0.03319548451995082,0.043198657905773805,195700,0.04500292226767972,0.22438786036158315,0.2315112540192926,0.06948133650216692,0.08639731581154761,0.16286872640849992,0.1209282818397875,0.1172934433104991,0.20145393541171536,0.009087096323221026,9.786103732699566e-4
48005,"Angelina County, Texas",797.8654908825832,66.91106445280828,87275,109.38560571589342,86830,0.4987220355532581,36055,42818,44457,37.8,2921,2539,3716,2006,1118,753,651,1372,2729,2681,2941,2230,2453,2699,2796,1180,1462,710,1438,1871,1124,967,461,2735,2996,3159,1998,1205,483,346,1754,2766,2838,2614,2807,2625,2648,2684,1239,1409,1091,1102,2457,1551,1008,942,0.6344084789458608,0.12135204812374678,0.009452878831280435,0.23521054139215125,0.36559152105413917,0.1458720859482294,0.17944126697147228,NA,0.002136986301369863,20.933523571033398,36500,60960,74557,29614,0.15758970727101038,0.11541522950384718,0.06384957643095951,0.12835264565270238,163500,0.06262588701930526,0.17695782249076084,0.1386165356670178,0.1514193879480323,0.1381303514031818,0.17591767279799045,0.14993382491964455,0.1047456986197769,0.07119898441509331,0.03516732841747022,0.03487021581179267
48007,"Aransas County, Texas",252.06869645728088,275.8855593153327,24876,98.6873830412966,23058,0.4810364250844912,8233,12219,12657,49.9,530,533,617,397,29,369,14,380,806,587,891,663,525,670,796,346,653,468,633,896,681,403,332,579,378,790,310,32,6,61,407,892,683,672,746,574,794,1004,519,569,403,672,1002,872,283,409,0.769416304872166,0.01290400385914134,0.013305997748834219,0.2707830840971217,0.23058369512783405,0.07411026537749434,0.2881094425015429,NA,7.959407024176699e-4,NA,10051,69466,82357,46039,0.14242276818292388,0.10665959140355533,0.0408997955010225,0.22007625476592288,265400,0.06435326174066357,0.1281770643317524,0.2768298018626164,0.20026251640727546,0.1092568285517845,0.1756984811550722,0.1184449028064254,0.05631601975123445,0.03206450403150197,0.01337583598974936,0.01775110944434027
48009,"Archer County, Texas",903.2892017260311,22.304241950155753,8867,9.816346728220243,6603,0.42682611506140916,1814,4493,4374,42.8,226,306,289,202,102,60,57,81,253,268,395,213,254,247,290,129,222,110,183,230,185,119,72,192,308,277,165,88,67,10,98,201,231,221,295,253,276,263,142,254,113,283,251,203,96,87,0.8890267283184843,0.014661102966053908,0.00563888575617458,0.09439494755836247,0.11097327168151572,0.080296576747121,0.25366777094178894,NA,0,NA,4078,72159,98889,40274,0.09173478655767484,0.04534313725490196,0.030260380014074596,0.12556732223903178,189100,0.01441753171856978,0.13896148164981253,0.10514372163388805,0.09354513363590519,0.1442259203227433,0.19717599596570853,0.12481089258698941,0.11018658598083711,0.12304589006555723,0.05143721633888049,0.05042864346949067
48011,"Armstrong County, Texas",909.1229704539171,4.704142258574171,1822,2.0041293193706142,1364,0.42812303829252984,418,836,986,43.6,61,12,48,15,17,9,1,72,54,19,29,97,23,32,36,16,66,32,37,64,42,38,16,45,41,123,6,8,0,0,65,70,32,43,68,32,49,80,51,43,34,25,52,47,26,46,0.8990120746432492,0.0060373216245883645,0.015916575192096598,0.11964873765093303,0.10098792535675083,0.054657428791377985,0.27174749807544263,NA,0,NA,876,72750,92188,35686,0.05194805194805195,0.060034305317324184,0.012401352874859075,0.1343115124153499,171500,0.005215123859191656,0.04178430265386787,0.04853273137697517,0.029345372460496615,0.029345372460496615,0.1455981941309255,0.17155756207674944,0.1670428893905192,0.17381489841986456,0.04966139954853273,0.18510158013544017
48013,"Atascosa County, Texas",1219.5422160257112,1.9276625992089538,51008,41.82553037501788,46368,0.4761748274728886,16304,25380,25628,36.1,1717,2068,1895,1304,671,271,591,804,1506,1691,1861,1561,1565,1525,1471,503,861,456,703,1025,705,495,131,1619,1923,1884,1131,716,337,295,1013,1532,1640,1415,1885,1554,1488,1256,810,877,628,636,1126,700,483,680,0.4644761606022585,0.012292189460476787,0.006234316185696361,0.6540738707653702,0.5355238393977415,0.18673136195794807,0.15749641429399738,NA,5.729564553093965e-4,NA,20944,70770,81674,29411,0.15832969128690055,0.13593889656293168,0.04082917397364989,0.12636619131883,174800,0.05099487668295008,0.1945965246369912,0.21203289268241907,0.15681274070989903,0.17726657645466848,0.10242531487457063,0.16066409909441032,0.06958467783907567,0.07400853544290621,0.025346101800770272,0.021859061101280317
48015,"Austin County, Texas",646.4956119487812,9.882753896929252,31170,48.21378432259097,28353,0.47633687818154324,11443,15946,15224,41.1,1050,971,1375,683,499,32,246,394,851,959,911,929,816,959,1172,311,716,294,631,825,571,568,183,700,701,1211,611,206,202,37,770,857,823,830,895,840,1013,959,327,758,455,510,963,898,261,397,0.6662175168431184,0.07901828681424447,0.008245107475136348,0.2778633301251203,0.33378248315688164,0.13792942928963783,0.2507215343077926,NA,7.012622720897616e-5,NA,14260,75789,98618,37650,0.1195398574206092,0.10614334470989761,0.04345218260579807,0.15301347859487394,296900,0.028034300791556728,0.16658587817094847,0.17640896710664153,0.195404707032614,0.15434038689852644,0.15119770933724422,0.0976325162371674,0.06299322578392345,0.05559047419512536,0.03121726377540331,0.07521474963335428
48017,"Bailey County, Texas",826.9718581707715,0.6854375387067431,6913,8.359413844252545,6466,0.48329471559907317,2258,3494,3419,33.3,337,358,252,122,9,50,16,278,250,274,152,350,106,103,64,41,3,126,18,231,226,90,38,159,162,295,171,140,44,28,249,177,323,135,341,193,72,127,100,71,22,43,246,104,56,161,0.7130044843049327,0.008823954867640676,0.007522059887169101,0.660350065094749,0.2869955156950673,0.2566580249823238,0.15201508366721658,NA,0,NA,2705,61420,71744,30881,0.12023721275018533,0.07434052757793765,0,0.1937956204379562,105300,0.10185604345857854,0.28630582667849747,0.042335766423357665,0.07116788321167883,0.0025547445255474453,0.1708029197080292,0.177007299270073,0.24452554744525548,0.2124087591240876,0.06204379562043796,0.017153284671532848
48019,"Bandera County, Texas",790.9935907038952,6.676255642883287,22021,27.839669320713195,17817,0.4472363070435263,5105,10846,11175,53.5,468,468,606,300,168,118,120,207,445,414,522,542,708,664,994,373,461,301,827,851,665,450,174,417,486,669,237,190,136,47,179,475,390,589,509,649,812,1137,322,645,548,559,920,774,296,189,0.7718995504291358,0.012442668362018074,0.00499523182416784,0.20975432541664774,0.22810044957086417,0.07271142109851787,0.27236268526591106,NA,0,41.02492581602374,9309,75813,92398,42036,0.13469971841388542,0.08536184210526315,0.0874306299289261,0.20112214069917997,278400,0.02150189086980011,0.1334704135252456,0.19559775571860163,0.25809236081139403,0.18489425981873112,0.1375053949072076,0.0887354337505395,0.03366422097539922,0.034613724643936125,0.017522658610271902,0.049374190763918864
48021,"Bastrop County, Texas",888.2280732574823,7.339718948504781,106582,119.99395561673909,89911,0.4575786414783224,31708,53980,52602,37,3429,3637,4034,2456,1399,758,762,2043,3386,3506,3617,3503,3190,3398,3495,1329,2106,1611,1489,2176,1365,734,557,3533,3410,4682,2500,1397,415,624,1905,3131,3208,3167,3260,2847,3326,3115,1775,1837,1206,1518,2503,1675,895,673,0.5420145990880261,0.05774896323957141,0.008031374903829915,0.4503762361374341,0.45798540091197393,0.18381275324003563,0.24994971119859766,NA,0.004485417226482565,NA,48379,86226,97358,36637,0.10176661342626205,0.0696629213483146,0.04214098710365558,0.07147534377675918,314800,0.033877617446023654,0.21825932641487597,0.27416511358484863,0.2112778925099481,0.15498917040245808,0.1389966251951846,0.08041605802649474,0.04465320102755251,0.027174734297083565,0.012491814839067144,0.05583539011736262
48023,"Baylor County, Texas",867.4806948912504,33.587427818198385,3485,4.0173804679732825,3450,0.4974765681326604,1360,1768,1717,48.1,83,145,106,87,49,0,0,57,70,73,110,76,97,74,187,56,27,123,29,143,115,29,32,67,87,105,76,0,0,22,45,90,101,59,82,121,121,156,56,50,17,74,133,108,76,71,0.8246771879483501,0.012338593974175036,0,0.13142037302725967,0.1753228120516499,0.13810641627543035,0.2531298904538341,NA,0,NA,1395,45370,59651,30099,0.2178623718887262,0.16037735849056603,0.0449438202247191,0.3013698630136986,103100,0.06993464052287582,0.20585651537335287,0.062100456621004566,0.028310502283105023,0.012328767123287671,0.15388127853881278,0.1552511415525114,0.24429223744292236,0.21506849315068494,0.060730593607305934,0.06803652968036529
48025,"Bee County, Texas",880.23940226750085,0.09513905083730118,31083,35.31198435326804,30340,0.49395177702163684,10120,19540,11543,35.7,846,926,862,602,523,759,541,746,2000,1900,1640,1872,1674,1068,948,322,433,419,313,445,308,160,233,669,683,1097,528,420,98,59,463,717,723,876,683,509,626,785,187,348,317,305,554,355,205,336,0.44155969501013415,0.07277289836888332,0.005018820577164366,0.617958369526751,0.5584403049898659,0.18432811250646725,0.13969239452518697,NA,9.205560158335634e-5,NA,10863,57673,77674,24011,0.1759574644845061,0.117740232312566,0.05208067398519275,0.17305164319248825,111300,0.0591574883615306,0.18849027173466876,0.09793427230046949,0.07333333333333333,0.09821596244131456,0.19558685446009388,0.2095774647887324,0.147981220657277,0.09211267605633802,0.03586854460093897,0.049389671361502345
48027,"Bell County, Texas",1053.8362957666213,36.436629050018766,386897,367.1319744387327,383490,0.49778877369426017,172780,192592,194305,32.3,15342,16058,14218,8555,5760,3681,3631,9106,16318,14979,13845,12360,10292,9749,8932,3856,5201,3517,4201,5430,3248,2413,1900,14408,13117,16226,8324,4956,3172,2047,8844,15054,15066,13557,13253,10993,10131,9435,4193,6091,4103,4645,6406,4592,2491,3201,0.4914822291204119,0.2288903765084764,0.030411194710736965,0.2628942586786664,0.508517770879588,0.09210614235838498,0.2716285518600805,NA,0.0029116790682626984,23.934511988071446,176187,68865,81043,34279,0.14504480548833992,0.11226519799803154,0.06049109716094279,0.08200983111638649,241000,0.052591265240153194,0.13995414411534518,0.24805506457314636,0.19237765936858944,0.13607452037827866,0.14346721025945375,0.1327265220813067,0.06608909933040034,0.043272394173579844,0.018468822975396405,0.019468706859848535
48029,"Bexar County, Texas",1240.3599012813959,15.713641144283294,2067341,1666.7267281570964,2096730,0.503528878350057,1016547,1026235,1041106,34.8,67808,71944,75450,44802,31244,13946,14888,47201,81259,83343,78882,72705,62328,58825,55773,20441,28729,17956,22814,32587,20818,11289,11203,64994,68697,72759,43588,28463,13639,15562,43082,77796,79284,75941,70809,63868,61082,57554,22615,31856,18581,29358,39787,27948,15950,17893,0.42301826355690714,0.07922543982826248,0.033534380636769646,0.5969436101736482,0.5769817364430929,0.13416696682808682,0.31844532689431504,NA,0.015962996804969418,25.7287076541481,987158,72341,87646,36702,0.14615024647909897,0.11161669194570839,0.05631260403757109,0.08509101098954652,262200,0.06397323883830777,0.1596615357700768,0.2140415214795682,0.1722775896098833,0.10654377543312459,0.144382173054899,0.12142961573137748,0.08437949267769683,0.07471916957040864,0.03987913935524745,0.042347523087794534
48031,"Blanco County, Texas",709.2518216300616,4.174994633179768,12446,17.548069134874503,11814,0.4869744435284419,4925,6078,6368,51.5,204,390,215,196,119,0,15,161,415,283,236,423,412,357,434,253,397,139,365,495,284,115,170,276,232,478,191,87,14,11,155,266,325,302,279,357,462,610,325,281,249,246,557,400,147,118,0.8037120359955006,0.010766511328941025,9.641651936365097e-4,0.18608388237184637,0.19628796400449944,0.07503607503607504,0.35405071119356835,NA,0.0016195789094835343,NA,5557,92425,101194,47109,0.08438338346475896,0.07375034143676591,0.05908863294942414,0.15712187958883994,483500,0.022260936895083235,0.14730947163379596,0.24898025779083047,0.21585903083700442,0.17882199379996735,0.09707945831293849,0.0735845978136727,0.02365801925273291,0.054005547397617884,0.048458149779735685,0.05955294501550008
48033,"Borden County, Texas",897.4427958739577,8.60915417368729,713,0.7944796072552551,783,0.5233957219251337,359,317,396,32.2,20,40,20,18,2,0,0,0,40,3,32,15,8,21,14,8,16,6,22,5,13,4,10,39,62,26,26,0,0,0,29,31,27,18,17,15,25,7,4,7,2,22,17,4,9,9,0.9046283309957924,0.005610098176718092,0,0.08415147265077139,0.09537166900420757,0.05568445475638051,0.3689095127610209,NA,0,NA,289,65625,71875,38272,0.07433380084151472,0.08955223880597014,0.0033444816053511705,0.33967391304347827,108900,0.012345679012345678,0.02664796633941094,0.1331521739130435,0.07608695652173914,0.14130434782608695,0.08152173913043478,0.09782608695652174,0.15760869565217392,0.19293478260869565,0.08967391304347826,0.029891304347826088
48035,"Bosque County, Texas",982.9713021836394,19.62886623412927,18687,19.01072794138285,16562,0.46985730091633804,5346,9159,9528,46.2,498,634,468,315,140,128,139,290,416,389,610,497,404,583,522,258,602,286,454,572,484,381,89,443,489,549,486,202,106,129,192,430,478,567,464,465,633,594,260,522,429,395,571,431,378,315,0.7710707978808797,0.01230802161930754,0.004334564135495264,0.19136297961149462,0.22892920211912027,0.1234512946064248,0.20372431189257365,NA,0,28.846952395076375,7471,68914,80728,36803,0.09293680297397769,0.07052992756385817,0.03567864271457086,0.19811724433033803,200900,0.02334578441835646,0.17571031248295796,0.09606332905434317,0.11050492083868207,0.12184424475823706,0.15800171159606333,0.13575096277278562,0.14409499358151476,0.09606332905434317,0.051775780915703895,0.08590072742832691
48037,"Bowie County, Texas",884.9392437339478,37.98689376166994,92115,104.09189179058927,97377,0.513884491165854,43291,46327,45788,38.5,2757,2930,3575,2037,1268,326,909,1659,3281,3419,2541,3509,2765,2891,2528,1416,1444,755,1561,1974,1580,790,412,2605,3211,2894,1893,920,770,590,1346,2873,2858,3336,2465,2695,2650,2844,1257,1488,1099,1792,2208,1589,1245,1160,0.6406991260923846,0.2482331867773978,0.013819681919339955,0.08617489008304836,0.35930087390761545,0.08901882258710453,0.23621946335602723,NA,0.002103657734886534,NA,38029,59803,76662,31241,0.162062337902927,0.11645101663585952,0.04426810400758597,0.12203364373685792,173000,0.06894192113591652,0.13362841062740521,0.12681485931711226,0.10836587563832983,0.1748773405427055,0.16125963752878741,0.15682887754080305,0.11697707019124862,0.0835836587563833,0.029338139581455893,0.041954540903174124
48039,"Brazoria County, Texas",1363.2855241028144,245.36908549383242,391255,286.9941718610172,341928,0.46636105856245985,130898,197301,193954,36.7,12602,14844,14712,9199,5024,2329,2459,7173,12416,14242,15089,15607,13535,12921,11645,4062,6269,3492,5418,6374,3885,2698,1306,11937,14038,14004,8734,4516,2198,2122,6799,11836,13939,15927,13596,12968,12216,11683,4108,6282,3945,5536,6833,4589,2664,3484,0.4773740910659289,0.16188419317325017,0.07431470524338347,0.31605219102631277,0.5226259089340711,0.10805793514203392,0.33135575193858413,NA,0.0018365931474545708,NA,180225,97993,114938,42527,0.07386760873710303,0.05503621990441552,0.04671711943018055,0.109252865534423,301600,0.03142690704864897,0.12720884489705275,0.2407181963930522,0.20883974960251728,0.136141989475855,0.12493264414153711,0.13843707798644234,0.07459370280932139,0.04532966119171639,0.019072518144504096,0.011934460255054184
