data_id,data_county,data_name,state_abbrev,daytime_age_18+
1383900,48229,Hudspeth TX,TX,3481
1383923,48275,Knox TX,TX,2736
1383863,48155,Foard TX,TX,921
1383884,48197,Hardeman TX,TX,3288
1383921,48271,Kinney TX,TX,2911
1383855,48141,El Paso TX,TX,866862
1383974,48377,Presidio TX,TX,5713
1383920,48269,King TX,TX,76
1383836,48101,Cottle TX,TX,1106
1383823,48075,Childress TX,TX,6607
1383829,48087,Collingsworth TX,TX,2411
1383825,48079,Cochran TX,TX,1929
1383794,48017,Bailey TX,TX,6216
1383970,48369,Parmer TX,TX,12144
1383895,48219,Hockley TX,TX,20232
1383926,48279,Lamb TX,TX,10765
1383820,48069,Castro TX,TX,6436
1383937,48303,Lubbock TX,TX,326484
1383880,48189,Hale TX,TX,28894
1384004,48437,Swisher TX,TX,6234
1383845,48117,Deaf Smith TX,TX,18956
1383965,48359,Oldham TX,TX,2093
1383976,48381,Randall TX,TX,115537
1383973,48375,Potter TX,TX,145743
1383839,48107,Crosby TX,TX,3610
1383862,48153,Floyd TX,TX,4397
1383808,48045,Briscoe TX,TX,1008
1383848,48125,Dickens TX,TX,1293
1383958,48345,Motley TX,TX,1037
1383881,48191,Hall TX,TX,2364
1383791,48011,Armstrong TX,TX,1407
1383818,48065,Carson TX,TX,8970
1383850,48129,Donley TX,TX,3202
1383875,48179,Gray TX,TX,19779
1383888,48205,Hartley TX,TX,5832
1383841,48111,Dallam TX,TX,7487
1383956,48341,Moore TX,TX,22736
1383996,48421,Sherman TX,TX,2432
1383902,48233,Hutchinson TX,TX,19233
1383883,48195,Hansford TX,TX,5050
1383982,48393,Roberts TX,TX,503
1383964,48357,Ochiltree TX,TX,9063
1384038,48505,Zapata TX,TX,10986
1383999,48427,Starr TX,TX,54458
1383909,48247,Jim Hogg TX,TX,3810
1383944,48323,Maverick TX,TX,51483
1383849,48127,Dimmit TX,TX,9774
1384039,48507,Zavala TX,TX,7650
1384017,48463,Uvalde TX,TX,22646
1384025,48479,Webb TX,TX,262865
1383924,48283,La Salle TX,TX,7536
1383867,48163,Frio TX,TX,17357
1383948,48325,Medina TX,TX,39534
1383947,48311,McMullen TX,TX,731
1383936,48301,Loving TX,TX,0
1384007,48443,Terrell TX,TX,680
1383854,48137,Edwards TX,TX,1269
1383859,48147,Fannin TX,TX,28331
1383925,48277,Lamar TX,TX,51065
1383979,48387,Red River TX,TX,9271
1383840,48109,Culberson TX,TX,2279
1383907,48243,Jeff Davis TX,TX,2069
1383807,48043,Brewster TX,TX,9134
1383980,48389,Reeves TX,TX,13009
1384023,48475,Ward TX,TX,11069
1384033,48495,Winkler TX,TX,7362
1384036,48501,Yoakum TX,TX,7568
1383971,48371,Pecos TX,TX,12810
1383837,48103,Crane TX,TX,4003
1384016,48461,Upton TX,TX,4638
1384018,48465,Val Verde TX,TX,45094
1383838,48105,Crockett TX,TX,2789
1383977,48383,Reagan TX,TX,2897
1383903,48235,Irion TX,TX,1535
1383853,48135,Ector TX,TX,161419
1383787,48003,Andrews TX,TX,17294
1383950,48329,Midland TX,TX,199912
1383941,48317,Martin TX,TX,4985
1383868,48165,Gaines TX,TX,20822
1384008,48445,Terry TX,TX,9889
1383843,48115,Dawson TX,TX,11648
1383938,48305,Lynn TX,TX,4281
